/Users/master/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
[179/403] 'budget travel blog contact us'                  +4 new (total 567)
[180/403] 'best budget travel blog'                        +3 new (total 570)
[181/403] 'best budget travel blog write for us'           +0 new (total 570)
[182/403] 'best budget travel blog 2026'                   DDG blocked/failed — backing off, will retry
[183/403] 'best budget travel blog contact us'             +34 new (total 604)
[184/403] 'top budget travel blog'                         +0 new (total 604)
[185/403] 'top budget travel blog write for us'            +0 new (total 604)
[186/403] 'top budget travel blog 2026'                    +3 new (total 607)
[187/403] 'top budget travel blog contact us'              +0 new (total 607)
[188/403] 'outdoor adventure blog'                         +3 new (total 610)
[189/403] 'outdoor adventure blog write for us'            DDG blocked/failed — backing off, will retry
[190/403] 'outdoor adventure blog 2026'                    DDG blocked/failed — backing off, will retry
[191/403] 'outdoor adventure blog contact us'              DDG blocked/failed — backing off, will retry
[192/403] 'best outdoor adventure blog'                    DDG blocked/failed — backing off, will retry
[193/403] 'best outdoor adventure blog write for us'       +37 new (total 647)
[194/403] 'best outdoor adventure blog 2026'               +1 new (total 648)
[195/403] 'best outdoor adventure blog contact us'         +2 new (total 650)
[196/403] 'top outdoor adventure blog'                     +2 new (total 652)
[197/403] 'top outdoor adventure blog write for us'        +0 new (total 652)
[198/403] 'top outdoor adventure blog 2026'                +0 new (total 652)
[199/403] 'top outdoor adventure blog contact us'          +2 new (total 654)
[200/403] 'watersports blog'                               +6 new (total 660)
[201/403] 'watersports blog write for us'                  +4 new (total 664)
[202/403] 'watersports blog 2026'                          +16 new (total 680)
[203/403] 'watersports blog contact us'                    DDG blocked/failed — backing off, will retry
[204/403] 'best watersports blog'                          +34 new (total 714)
[205/403] 'best watersports blog write for us'             +39 new (total 753)
[206/403] 'best watersports blog 2026'                     +1 new (total 754)
[207/403] 'best watersports blog contact us'               +4 new (total 758)
[208/403] 'top watersports blog'                           +3 new (total 761)
[209/403] 'top watersports blog write for us'              +0 new (total 761)
[210/403] 'top watersports blog 2026'                      +3 new (total 764)
[211/403] 'top watersports blog contact us'                +2 new (total 766)
[212/403] 'scuba diving blog'                              +1 new (total 767)
[213/403] 'scuba diving blog write for us'                 +3 new (total 770)
